Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
1,H-0692,9774030151,Wurth Elektronik,,Hardware,"M2.5 Threaded Soldered Spacer, 3.0mm Height, 5.1 Outside Diameter, 3.7mm Hole, Non-Plated","","","",8,each,true,true,"",A,Active,Initial Revision,"",,USD,,,,
2,J-0422,DF40HC(3.0)-100DS-0.4V,Hirose Electric Co,,Connector,"0.4mm Pitch, 3.0mm Height, Non-Polarized","","","",4,each,true,true,"",A,Active,Initial Revision,"",,USD,,,,
3,U-0635,AD7478WARTZ-RL7,Analog Devices,,IC,IC ADC 8BIT 1MSPS SOT23-6,AD7478ARTZ,"","",1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
4,J-0194,0862-1J1T-43-F,Bel Fuse,,Connector,CONN MAGJACK 1PT GIGIBIT Y/GO,0862-1J1T-43-F,"",2.98,1,each,false,true,"",A,Active,"","",,USD,,,,
5,U-0646,"PCA9543APW,118",NXP,,IC,IC I2C MUX 2CH BI-DIR TSSOP-14,"PCA9543APW,118","","",1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
6,U-0350,93LC46C-I/SN,Microchip,,IC,IC EEPROM 1KBIT 3MHZ 8SOIC,93LC46C-I/SN,"","",1,each,false,unknown,"",-,Active,"","",,USD,,,,
7,J-0261,35RAPC7JS,Switchcraft,,Connector,CONN JACK STEREO 3.5MM R/A,35RAPC7JS,"","",2,each,false,true,"",A,Active,"","",,USD,,,,
8,U-0706,USB2534-1080AEN,Microchip,,IC,IC USB 2.0 4PORT HUB CTLR 36QFN,"","","",1,each,false,true,"",A,Active,"","",,USD,,,,
9,U-0622,TPS563207SDRLR,Texas Instruments,,IC,"4.3-V TO 17-V INPUT, 3-A, FCCM M","","","",1,each,false,true,"",A,Active,Initial Release,"",0.2886,USD,,,,
10,C-0684,04026C105KAT2A,AVX,,Capacitor,CAP MLCC 1uF 6.3V  X7R 0402 10%,"",1.0e-06,1u,25,each,false,true,"",A,Active,Initial Revision,"",0.146,USD,,,,
11,U-0385,BCM53125SKMMLG,"Broadcom, Ltd.",,IC,IC GIGABIT SWITCH,BCM53125SKMMLG,"",7.45,1,each,false,true,"",A,Active,"","",,USD,,,,
12,U-0634,TS3A5018PWG4,Texas Instruments,,IC,IC SWITCH SPDT QUAD 16TSSOP,"","","",3,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
