Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
1,C-0602,C0805C105K3RACTU,Kemet,,Capacitor,MLCC 0805 1uF 25V X7R 10%,"",1.0e-06,1u,10,each,true,true,"",A,Active,Initial Revision,"",,USD,,,,
2,C-0573,GRM033R61E104KE14J,Murata Electronics,,Capacitor,CAP CER .1UF 25V 10% X5R 0201,"",1.0e-07,0.1u,105,each,false,true,"",A,Active,Added as equivalent for C-0444,"",0.015,USD,,,,
3,C-0673,CL10B106MQ8NRNC,Samsung,,Capacitor,CAP MLCC 10uF 6.3V  X7R 0603 20%,"",1.0e-05,10u,10,each,false,true,"",A,Active,Initial Revision,"",0.36,USD,,,,
4,C-0898,C2012X5R1V226M125AC,TDK,,Capacitor,CAP CER 22UF 35V X5R 0805,"",2.2e-05,22u,7,each,false,true,"",A,Active,"","",0.342,USD,,,,
5,C-1097,0805ZC106KAT4A,AVX,,Capacitor,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 10uF X7R 0805 10%,"",1.0e-05,10u,1,each,false,true,"",-,Active,"","",,USD,,,,
6,C-0597,C1206C106K3RACTU,Kemet,,Capacitor,MLCC 1206 10uF 25V X7R 10%,"",1.0e-05,10u,13,each,true,true,"",A,Active,Initial Revision,"",0.263,USD,,1000,,""
7,C-0866,GCM155R71E333JA55D,Murata Electronics,,Capacitor,CAP MLCC .033uF 25V X7R 0402 5%,"",3.3e-08,.033u,2,each,false,true,"",-,Active,"","",0.024,USD,,,,
8,C-0684,04026C105KAT2A,AVX,,Capacitor,CAP MLCC 1uF 6.3V  X7R 0402 10%,"",1.0e-06,1u,8,each,false,true,"",A,Active,Initial Revision,"",0.146,USD,,,,
9,C-0619,C0603C474K3RACTU,Kemet,,Capacitor,CAP MLCC 0.47 uF 25V X7R 0603,"",4.7e-07,0.47u,40,each,false,true,"",A,Active,Initial Revision,"",0.054,USD,,,,
10,C-0730,C0805C475K4RACTU,Kemet,,Capacitor,CAP MLCC 4.7uF 16V  X7R 0805 5%,"",4.7e-06,4.7u,15,each,false,true,"",A,Active,Initial Revision,"",0.078,USD,,,,
11,C-0864,TCJY337M006R0050E,AVX,,Capacitor,6.3V 330uF 2917 20% ESR=50mOhms,"",0.00033,330u,5,each,false,true,"",-,Active,"","",0.56,USD,,,,
12,C-0635,C0402C104K3RACTU,Kemet,,Capacitor,CAP MLCC 0.1uF 25V X7R 0402 10%,"",1.0e-07,0.1u,2,each,false,true,"",A,Active,Initial Revision,"",0.058,USD,,,,
13,C-0724,C0402C331K5RACAUTO,Kemet,,Capacitor,MLCC - SMD/SMT 50V 330pF X7R 0402 10% AEC-Q200,"",3.3e-10,330p,1,each,false,true,"",-,Active,"","",0.132,USD,,,,
14,C-0685,CC0402BRNPO9BN1R1,Yageo,,Capacitor,CAP MLCC 1.1pF 50V C0G 0402 +/-0.1pF,"",1.1e-12,1.1p,1,each,false,true,"",A,Active,Initial Revision,"",0.013,USD,,,,
15,C-0637,C1210C476K8RACTU,Kemet,,Capacitor,CAP MLCC 47uF 10V X7R 1210 10%,"",4.7e-05,47u,1,each,false,true,"",A,Active,Initial Revision,"",1.389,USD,,,,
16,C-0545,GRM155R71A474KE01D,MURATA,,Capacitor,CAP CER 0.47UF 10V X7R 0402,"","","",3,each,false,true,"",A,Active,"","",0.017,USD,,,,
17,C-0561,C0402C103K3RACTU,Kemet,,Capacitor,MLCC - SMD/SMT 25V 0.01uF X7R 0402 10%,"",1.0e-08,0.01u,3,each,false,true,"",A,Active,"","",0.007,USD,,,,
18,C-0985,GCQ1555C1H7R6BB01D,MURATA,,Capacitor,CAP CER 7.6PF +/-0.1PF 50V 0402 C0G,"",7.6e-12,7.6p,2,each,false,true,"",-,Active,"","",0.093,USD,,,,
19,C-0681,CGA2B2X7R1C224K050BA,TDK,,Capacitor,CAP MLCC 0.22uF 16V  X7R 0402 10%,"",2.2e-07,.22u,4,each,false,true,"",A,Active,Initial Revision,"",0.037,USD,,,,
