Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
1,SUB-0121,SUB-0121,"FlexRadio, Inc.",,Subassembly,BB PA SUB ASSY,"","","",1,each,true,unknown,"",B,Active,Update BOM per Paul,"",,USD,,,,
2,SUB-0125,SUB-0125,"FlexRadio, Inc.",,Subassembly,BB/OL BASE CHASSIS,"","","",1,each,true,true,"",D,Active,"","",,USD,,,,
3,B-0163,B-0163,"FlexRadio, Inc.",,Assembly,BIGBEND CPU,BBCPU,"","",1,each,true,true,"",I,Released,Replace Q1 with jumper,"",,USD,,,,
4,B-0173,B-0173,"FlexRadio, Inc.",,Assembly,ASSY BBA7FPGA-200T FPGA/CLK/DAC,"","","",1,each,true,true,"",H,Released,Change R17,"",,USD,,,,
5,CBL-0127,CBL-0127,PiPlus,,Cable,CBL 4.0 IN 16-PIN 2MM IDC SAME,"","",0.67,1,each,false,true,"",C,Active,"","",0.67,USD,,,,
6,CBL-0129,CBL-0129,PiPlus,,Cable,CBL 2 IN 16-PIN 2MM IDC OPPOSING,"","",0.65,1,each,false,true,7,A,Active,"","",0.65,USD,,,,
7,CBL-0131,CBL-0131,PiPlus,,Cable,CBL 11 IN 10-PIN 2MM IDC OPPOSING,"","",0.70,1,each,false,true,"",B,Active,"","",0.7,USD,,,,
8,CBL-0132,CBL-0132,"Jingcheng Electronics Co., Ltd.",,Cable,"CABLE RG316 COAX 14""  MCX RA - MCX RA SAME","","",1.20,3,each,false,true,"",A,Active,"","Yangzhou Jingcheng Electronics Co., Ltd.",1.197,USD,,,,
9,CBL-0133,CBL-0133,"Jingcheng Electronics Co., Ltd.",,Cable,"CABLE RG316 COAX 9""  MCX RA - MCX RA OPPOSING","","",1.11,1,each,false,true,"",A,Active,"","Yangzhou Jingcheng Electronics Co., Ltd.",1.11,USD,,,,
10,CBL-0134,CBL-0134,"Jingcheng Electronics Co., Ltd.",,Cable,"CABLE RG316 COAX 7.5""  MCX RA - MCX RA OPPOSING","","",1.08,1,each,false,true,"",B,Active,"","Yangzhou Jingcheng Electronics Co., Ltd.",1.076,USD,,,,
11,CBL-0228,CBL-0228,"FlexRadio, Inc.",,Cable,"CBL, 12 PIN NANO-FIT, LOOSE WIRE, 300MM, BB CPU TO PA","",0.0,000,1,each,false,true,"",A,Active,PROTO BUILD,"",,USD,,,,
12,CBL-0230,CA90DA-90DB-03M,L-Com,,Cable,"CBL, USB-90 DN A / 90 DN B DX, .3M, BLACK","",0.0,000,1,each,false,true,"",A,Active,"","",,USD,,,,
13,H-0508,369882,Fastener Superstore,,Hardware,SCREW M3-0.5 X 8 PHILLIPS HD DOUBLE WASHER,"","","",12,each,false,true,"",A,Active,"","",0.022,USD,,,,
